# Date : 2016-08-25
# Equipment : MACSQuant (Bjorkman lab)
# User : mrazomej
# Description :
# IPTG titration with all the O1+11 YFP strains RBS (delta, HG104, RBS1147, RBS446, RBS1027, RBS1 and RBS1L)
# The strains were grown in deep 96-well plates in 1 mL of LB + Kan + Spec and then
# diluted next morning 1:1000 into 0.5 mL of M9 + 0.5% glucose also in deep 96-well plates with the following
# IPTG concentrations:
# 0uM, 0.1uM, 5uM, 10uM, 25uM, 50uM, 75uM, 100uM, 250uM, 500uM, 1000uM, 5000uM
# Comments :
# The plate was prepared by Stephanie early in the morning and I (Manuel) performed the measurements in the
# flow cytometer. The flow rates were in the order of 5000 events / sec. The run seemed to proceed with no
# major delays.
date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160825,mrazomej,O1,-15.3,auto,0,0.0,3317.2941342462937,0.0,0.0
20160825,mrazomej,O1,-15.3,delta,0,0.0,19723.41477330831,16406.120639062014,1.0
20160825,mrazomej,O1,-15.3,RBS1L,870,0.0,3367.982228293506,50.68809404721242,0.003089584379047356
20160825,mrazomej,O1,-15.3,RBS1,610,0.0,3368.716951740117,51.42281749382346,0.003134367875571312
20160825,mrazomej,O1,-15.3,RBS1027,130,0.0,3396.0431763940514,78.74904214775779,0.0047999794637777395
20160825,mrazomej,O1,-15.3,RBS446,62,0.0,3474.2551703494005,156.96103610310684,0.009567224303434157
20160825,mrazomej,O1,-15.3,RBS1147,30,0.0,3597.4129181794697,280.118783933176,0.017074041456590878
20160825,mrazomej,O1,-15.3,HG104,11,0.0,4012.6876440400642,695.3935097937706,0.04238622433008808
20160825,mrazomej,O1,-15.3,auto,0,0.1,3225.6681783638714,0.0,0.0
20160825,mrazomej,O1,-15.3,delta,0,0.1,18567.08927399427,15341.421095630398,1.0
20160825,mrazomej,O1,-15.3,RBS1L,870,0.1,3247.723795525849,22.055617161977352,0.0014376515072817679
20160825,mrazomej,O1,-15.3,RBS1,610,0.1,3275.3821351307656,49.71395676689417,0.0032405053258758336
20160825,mrazomej,O1,-15.3,RBS1027,130,0.1,3300.663102979634,74.99492461576256,0.004888394898248566
20160825,mrazomej,O1,-15.3,RBS446,62,0.1,3336.442838320796,110.77465995692455,0.0072206257338491165
20160825,mrazomej,O1,-15.3,RBS1147,30,0.1,3429.1375254244854,203.46934706061393,0.013262744421934083
20160825,mrazomej,O1,-15.3,HG104,11,0.1,3869.7089930565767,644.0408146927052,0.04198051866760527
20160825,mrazomej,O1,-15.3,auto,0,5.0,3106.313340533135,0.0,0.0
20160825,mrazomej,O1,-15.3,delta,0,5.0,18418.563588989382,15312.250248456246,1.0
20160825,mrazomej,O1,-15.3,RBS1L,870,5.0,3235.5075820085967,129.1942414754617,0.008437312568640056
20160825,mrazomej,O1,-15.3,RBS1,610,5.0,3246.6497849329417,140.33644439980662,0.009164978505622
20160825,mrazomej,O1,-15.3,RBS1027,130,5.0,3375.0925980936736,268.77925756053855,0.017553217404322162
20160825,mrazomej,O1,-15.3,RBS446,62,5.0,3466.721873157344,360.4085326242089,0.023537267663225697
20160825,mrazomej,O1,-15.3,RBS1147,30,5.0,3691.992803341893,585.6794628087578,0.038249078568174846
20160825,mrazomej,O1,-15.3,HG104,11,5.0,4707.183064042537,1600.8697235094019,0.10454829940300896
20160825,mrazomej,O1,-15.3,auto,0,10.0,3089.548075619739,0.0,0.0
20160825,mrazomej,O1,-15.3,delta,0,10.0,17387.262540748226,14297.714465128487,1.0
20160825,mrazomej,O1,-15.3,RBS1L,870,10.0,3269.0891845748797,179.54110895514077,0.012557329312529904
20160825,mrazomej,O1,-15.3,RBS1,610,10.0,3282.390884875215,192.8428092554759,0.013487666838347574
20160825,mrazomej,O1,-15.3,RBS1027,130,10.0,3489.697290717995,400.14921509825626,0.027986935679419466
20160825,mrazomej,O1,-15.3,RBS446,62,10.0,3643.937571780611,554.3894961608721,0.03877469350174843
20160825,mrazomej,O1,-15.3,RBS1147,30,10.0,3822.560376889403,733.012301269664,0.05126779549678724
20160825,mrazomej,O1,-15.3,HG104,11,10.0,5119.8324985223035,2030.2844229025645,0.14200062729286847
20160825,mrazomej,O1,-15.3,auto,0,25.0,3025.3462890358446,0.0,0.0
20160825,mrazomej,O1,-15.3,delta,0,25.0,16253.891605601715,13228.545316565871,1.0
20160825,mrazomej,O1,-15.3,RBS1L,870,25.0,3354.8840579846596,329.537768948815,0.02491111161981966
20160825,mrazomej,O1,-15.3,RBS1,610,25.0,3455.3089202460565,429.96263121021184,0.032502638870789316
20160825,mrazomej,O1,-15.3,RBS1027,130,25.0,3891.5255259826,866.1792369467553,0.06547804132794968
20160825,mrazomej,O1,-15.3,RBS446,62,25.0,4446.727139413081,1421.3808503772366,0.10744800855746903
20160825,mrazomej,O1,-15.3,RBS1147,30,25.0,5294.133930234073,2268.7876411982284,0.171506963683835
20160825,mrazomej,O1,-15.3,HG104,11,25.0,8251.137526396393,5225.791237360549,0.39503899425860406
20160825,mrazomej,O1,-15.3,auto,0,50.0,3052.1918337919515,0.0,0.0
20160825,mrazomej,O1,-15.3,delta,0,50.0,16129.917979778356,13077.726145986406,1.0
20160825,mrazomej,O1,-15.3,RBS1L,870,50.0,3782.5677502690673,730.3759164771159,0.055848846223261105
20160825,mrazomej,O1,-15.3,RBS1,610,50.0,3932.053412384325,879.8615785923735,0.06727940077430095
20160825,mrazomej,O1,-15.3,RBS1027,130,50.0,5009.632176799826,1957.4403430078746,0.1496774226006116
20160825,mrazomej,O1,-15.3,RBS446,62,50.0,6129.168699399043,3076.976865607092,0.23528378184853072
20160825,mrazomej,O1,-15.3,RBS1147,30,50.0,7589.580595369368,4537.3887615774165,0.3469554807102269
20160825,mrazomej,O1,-15.3,HG104,11,50.0,11413.458903752822,8361.267069960872,0.6393517478974715
20160825,mrazomej,O1,-15.3,auto,0,75.0,3059.048887235228,0.0,0.0
20160825,mrazomej,O1,-15.3,delta,0,75.0,15750.741073631425,12691.692186396198,1.0
20160825,mrazomej,O1,-15.3,RBS1L,870,75.0,4569.325326544588,1510.2764393093603,0.11899724773723833
20160825,mrazomej,O1,-15.3,RBS1,610,75.0,4737.429113768167,1678.3802265329387,0.1322424308660699
20160825,mrazomej,O1,-15.3,RBS1027,130,75.0,6421.795647679674,3362.7467604444464,0.2649565330656902
20160825,mrazomej,O1,-15.3,RBS446,62,75.0,8011.208990007547,4952.160102772319,0.39018911190427186
20160825,mrazomej,O1,-15.3,RBS1147,30,75.0,9490.788793426256,6431.739906191028,0.5067677195232482
20160825,mrazomej,O1,-15.3,HG104,11,75.0,12269.218941544455,9210.170054309227,0.7256849535148119
20160825,mrazomej,O1,-15.3,auto,0,100.0,3055.5236456992784,0.0,0.0
20160825,mrazomej,O1,-15.3,delta,0,100.0,15535.829585385209,12480.30593968593,1.0
20160825,mrazomej,O1,-15.3,RBS1L,870,100.0,4629.624934388534,1574.1012886892554,0.12612681902963574
20160825,mrazomej,O1,-15.3,RBS1,610,100.0,5014.224638243427,1958.7009925441484,0.15694334754372533
20160825,mrazomej,O1,-15.3,RBS1027,130,100.0,7276.717595008481,4221.193949309203,0.3382284031905255
20160825,mrazomej,O1,-15.3,RBS446,62,100.0,9227.216186920688,6171.69254122141,0.49451452320540806
20160825,mrazomej,O1,-15.3,RBS1147,30,100.0,10861.120505184632,7805.596859485353,0.6254331341881979
20160825,mrazomej,O1,-15.3,HG104,11,100.0,13193.576775979014,10138.053130279735,0.8123240871877907
20160825,mrazomej,O1,-15.3,auto,0,250.0,3060.2466933089513,0.0,0.0
20160825,mrazomej,O1,-15.3,delta,0,250.0,15433.683151443009,12373.436458134058,1.0
20160825,mrazomej,O1,-15.3,RBS1L,870,250.0,6256.530166382239,3196.283473073288,0.2583181708564166
20160825,mrazomej,O1,-15.3,RBS1,610,250.0,6694.156641573639,3633.9099482646875,0.29368639509000954
20160825,mrazomej,O1,-15.3,RBS1027,130,250.0,10156.060488166495,7095.813794857544,0.5734715508392896
20160825,mrazomej,O1,-15.3,RBS446,62,250.0,12163.70571960279,9103.45902629384,0.7357260092695915
