date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160817,sbarnes,O1,-15.3,auto,0,0,3184.232274,0,0
20160817,sbarnes,O1,-15.3,delta,0,0,13767.79849,10583.56622,1
20160817,sbarnes,O1,-15.3,RBS1L,870,0,3258.596592,74.36431795,0.007026395
20160817,sbarnes,O1,-15.3,RBS1,610,0,3254.679874,70.44760033,0.00665632
20160817,sbarnes,O1,-15.3,RBS1027,130,0,3310.034558,125.8022843,0.011886568
20160817,sbarnes,O1,-15.3,RBS446,62,0,3339.54258,155.3103062,0.014674667
20160817,sbarnes,O1,-15.3,RBS1147,30,0,3412.249463,228.0171891,0.021544457
20160817,sbarnes,O1,-15.3,HG104,11,0,3903.276609,719.044335,0.067939702
20160817,sbarnes,O1,-15.3,auto,0,0.1,3138.824021,0,0
20160817,sbarnes,O1,-15.3,delta,0,0.1,13963.62844,10824.80442,1
20160817,sbarnes,O1,-15.3,RBS1L,870,0.1,3183.16477,44.34074977,0.004096217
20160817,sbarnes,O1,-15.3,RBS1,610,0.1,3222.620045,83.79602401,0.007741112
20160817,sbarnes,O1,-15.3,RBS1027,130,0.1,3269.784304,130.9602832,0.012098166
20160817,sbarnes,O1,-15.3,RBS446,62,0.1,3281.246458,142.4224371,0.013157045
20160817,sbarnes,O1,-15.3,RBS1147,30,0.1,3295.51181,156.6877896,0.014474884
20160817,sbarnes,O1,-15.3,HG104,11,0.1,3803.800933,664.9769121,0.061430848
20160817,sbarnes,O1,-15.3,auto,0,5,3145.083436,0,0
20160817,sbarnes,O1,-15.3,delta,0,5,14170.91211,11025.82867,1
20160817,sbarnes,O1,-15.3,RBS1L,870,5,3182.142018,37.05858181,0.00336107
20160817,sbarnes,O1,-15.3,RBS1,610,5,3199.763463,54.68002624,0.004959267
20160817,sbarnes,O1,-15.3,RBS1027,130,5,3295.736357,150.6529211,0.013663637
20160817,sbarnes,O1,-15.3,RBS446,62,5,3378.715112,233.6316759,0.021189489
20160817,sbarnes,O1,-15.3,RBS1147,30,5,3557.377041,412.2936046,0.037393435
20160817,sbarnes,O1,-15.3,HG104,11,5,4854.836673,1709.753237,0.155068003
20160817,sbarnes,O1,-15.3,auto,0,10,3130.149898,0,0
20160817,sbarnes,O1,-15.3,delta,0,10,13922.58012,10792.43022,1
20160817,sbarnes,O1,-15.3,RBS1L,870,10,3204.706535,74.55663771,0.006908234
20160817,sbarnes,O1,-15.3,RBS1,610,10,3221.463321,91.3134235,0.008460877
20160817,sbarnes,O1,-15.3,RBS1027,130,10,3362.649999,232.5001012,0.021542887
20160817,sbarnes,O1,-15.3,RBS446,62,10,3558.807135,428.657237,0.039718324
20160817,sbarnes,O1,-15.3,RBS1147,30,10,3762.764042,632.6141439,0.058616468
20160817,sbarnes,O1,-15.3,HG104,11,10,5651.042012,2520.892115,0.233579654
20160817,sbarnes,O1,-15.3,auto,0,25,3094.756193,0,0
20160817,sbarnes,O1,-15.3,delta,0,25,13735.67531,10640.91911,1
20160817,sbarnes,O1,-15.3,RBS1L,870,25,3258.373289,163.6170958,0.015376218
20160817,sbarnes,O1,-15.3,RBS1,610,25,3367.607183,272.8509901,0.025641675
20160817,sbarnes,O1,-15.3,RBS1027,130,25,3763.937286,669.1810927,0.062887527
20160817,sbarnes,O1,-15.3,RBS446,62,25,4437.612848,1342.856655,0.126197431
20160817,sbarnes,O1,-15.3,RBS1147,30,25,5293.544679,2198.788486,0.206635203
20160817,sbarnes,O1,-15.3,HG104,11,25,9898.203989,6803.447796,0.639366555
20160817,sbarnes,O1,-15.3,auto,0,50,3080.722718,0,0
20160817,sbarnes,O1,-15.3,delta,0,50,13636.04456,10555.32185,1
20160817,sbarnes,O1,-15.3,RBS1L,870,50,3495.366561,414.6438424,0.039282918
20160817,sbarnes,O1,-15.3,RBS1,610,50,3655.400143,574.6774247,0.05444433
20160817,sbarnes,O1,-15.3,RBS1027,130,50,4573.837734,1493.115015,0.141456133
20160817,sbarnes,O1,-15.3,RBS446,62,50,5800.880862,2720.158144,0.257704898
20160817,sbarnes,O1,-15.3,RBS1147,30,50,7074.734864,3994.012146,0.378388476
20160817,sbarnes,O1,-15.3,HG104,11,50,12843.02569,9762.302974,0.924870233
20160817,sbarnes,O1,-15.3,auto,0,75,3088.256398,0,0
20160817,sbarnes,O1,-15.3,delta,0,75,13592.18461,10503.92821,1
20160817,sbarnes,O1,-15.3,RBS1,610,75,4181.853591,1093.597194,0.104113163
20160817,sbarnes,O1,-15.3,RBS1027,130,75,5906.075307,2817.818909,0.268263344
20160817,sbarnes,O1,-15.3,RBS446,62,75,7589.241157,4500.984759,0.428504905
20160817,sbarnes,O1,-15.3,RBS1147,30,75,8720.157551,5631.901153,0.536170948
20160817,sbarnes,O1,-15.3,HG104,11,75,14298.05171,11209.79531,1.067200297
20160817,sbarnes,O1,-15.3,auto,0,100,3150.524568,0,0
20160817,sbarnes,O1,-15.3,delta,0,100,13672.10869,10521.58413,1
20160817,sbarnes,O1,-15.3,RBS1L,870,100,3940.666333,790.1417647,0.075097224
20160817,sbarnes,O1,-15.3,RBS1,610,100,4474.542106,1324.017538,0.125838231
20160817,sbarnes,O1,-15.3,RBS1027,130,100,6666.853717,3516.329149,0.334201495
20160817,sbarnes,O1,-15.3,RBS446,62,100,8466.561471,5316.036903,0.50525062
20160817,sbarnes,O1,-15.3,RBS1147,30,100,9668.390858,6517.86629,0.619475757
20160817,sbarnes,O1,-15.3,HG104,11,100,15404.29602,12253.77145,1.164631799
20160817,sbarnes,O1,-15.3,auto,0,250,3107.732818,0,0
20160817,sbarnes,O1,-15.3,delta,0,250,13470.8476,10363.11478,1
20160817,sbarnes,O1,-15.3,RBS1L,870,250,4983.885256,1876.152438,0.181041364
20160817,sbarnes,O1,-15.3,RBS1,610,250,5549.733158,2442.00034,0.235643471
20160817,sbarnes,O1,-15.3,RBS1027,130,250,8460.091536,5352.358718,0.516481659
20160817,sbarnes,O1,-15.3,RBS446,62,250,9969.046381,6861.313563,0.662089894
20160817,sbarnes,O1,-15.3,RBS1147,30,250,11264.44096,8156.708142,0.787090399
20160817,sbarnes,O1,-15.3,HG104,11,250,16181.85639,13074.12358,1.261601734
20160817,sbarnes,O1,-15.3,auto,0,500,3103.761112,0,0
20160817,sbarnes,O1,-15.3,delta,0,500,13152.11343,10048.35231,1
20160817,sbarnes,O1,-15.3,RBS1L,870,500,5750.397843,2646.63673,0.263390121
20160817,sbarnes,O1,-15.3,RBS1,610,500,6318.902022,3215.14091,0.319966977
20160817,sbarnes,O1,-15.3,RBS1027,130,500,9549.624075,6445.862962,0.64148457
20160817,sbarnes,O1,-15.3,RBS446,62,500,10885.95404,7782.192927,0.774474529
20160817,sbarnes,O1,-15.3,RBS1147,30,500,11883.46884,8779.707725,0.873746008
20160817,sbarnes,O1,-15.3,HG104,11,500,16620.72678,13516.96567,1.345192251
20160817,sbarnes,O1,-15.3,auto,0,1000,3084.580199,0,0
20160817,sbarnes,O1,-15.3,delta,0,1000,11547.24031,8462.66011,1
20160817,sbarnes,O1,-15.3,RBS1L,870,1000,6540.800822,3456.220623,0.408408299
20160817,sbarnes,O1,-15.3,RBS1,610,1000,6921.615472,3837.035273,0.453407702
20160817,sbarnes,O1,-15.3,RBS1027,130,1000,9663.693269,6579.113069,0.77742849
20160817,sbarnes,O1,-15.3,RBS446,62,1000,10751.1783,7666.598099,0.905932414
20160817,sbarnes,O1,-15.3,RBS1147,30,1000,11257.66024,8173.080043,0.965781437
20160817,sbarnes,O1,-15.3,HG104,11,1000,15700.65383,12616.07363,1.490792903
20160817,sbarnes,O1,-15.3,auto,0,5000,3012.885182,0,0
20160817,sbarnes,O1,-15.3,delta,0,5000,11509.66701,8496.781832,1
20160817,sbarnes,O1,-15.3,RBS1L,870,5000,6579.518538,3566.633356,0.41976285
20160817,sbarnes,O1,-15.3,RBS1,610,5000,6729.336379,3716.451198,0.437395154
20160817,sbarnes,O1,-15.3,RBS1027,130,5000,9114.470459,6101.585277,0.718105442
20160817,sbarnes,O1,-15.3,RBS446,62,5000,10076.89218,7064.006998,0.831374412
20160817,sbarnes,O1,-15.3,RBS1147,30,5000,10449.24127,7436.356091,0.875196779
20160817,sbarnes,O1,-15.3,HG104,11,5000,14775.49504,11762.60986,1.384360584
