paper,operator,repressors,fold_change,Ns,Ns_energy,Nc,Nc_energy
Cell_2014,O1,3.57,1.046,64,-15.3,0,0
Cell_2014,O1,4.751,0.9676,64,-15.3,0,0
Cell_2014,O1,5.478,1.023,64,-15.3,0,0
Cell_2014,O1,6.545,1.168,64,-15.3,0,0
Cell_2014,O1,7.211,0.8455,64,-15.3,0,0
Cell_2014,O1,8.019,1.036,64,-15.3,0,0
Cell_2014,O1,9.012,0.9151,64,-15.3,0,0
Cell_2014,O1,10.46,0.9279,64,-15.3,0,0
Cell_2014,O1,12.14,0.9721,64,-15.3,0,0
Cell_2014,O1,14.15,1.23,64,-15.3,0,0
Cell_2014,O1,24.26,0.7943,64,-15.3,0,0
Cell_2014,O1,37.11,0.3499,64,-15.3,0,0
Cell_2014,O1,47.48,0.1952,64,-15.3,0,0
Cell_2014,O1,57.77,0.3151,64,-15.3,0,0
Cell_2014,O1,89.35,0.1175,64,-15.3,0,0
Cell_2014,O1,114,0.01867,64,-15.3,0,0
Cell_2014,O1,130.3,0.01138,64,-15.3,0,0
Cell_2014,O1,138.4,0.01418,64,-15.3,0,0
Cell_2014,O1,147.6,0.008884,64,-15.3,0,0
Cell_2014,O1,161.6,0.01029,64,-15.3,0,0
Cell_2014,O1,174.2,0.004945,64,-15.3,0,0
Cell_2014,O1,196.1,0.007024,64,-15.3,0,0
Cell_2014,O1,226.6,0.005509,64,-15.3,0,0
Cell_2014,O1,259,0.005295,64,-15.3,0,0
Cell_2014,O1,293.8,0.005946,64,-15.3,0,0
Cell_2014,O1,5.234,1.05,52,-15.3,0,0
Cell_2014,O1,11.65,0.7199,52,-15.3,0,0
Cell_2014,O1,17.19,0.6175,52,-15.3,0,0
Cell_2014,O1,32.38,0.2127,52,-15.3,0,0
Cell_2014,O1,45.28,0.06673,52,-15.3,0,0
Cell_2014,O1,54.13,0.05659,52,-15.3,0,0
Cell_2014,O1,63.6,0.09209,52,-15.3,0,0
Cell_2014,O1,73.3,0.03169,52,-15.3,0,0
Cell_2014,O1,82.46,0.02863,52,-15.3,0,0
Cell_2014,O1,93.74,0.01881,52,-15.3,0,0
Cell_2014,O1,103,0.01482,52,-15.3,0,0
Cell_2014,O1,114.9,0.01158,52,-15.3,0,0
Cell_2014,O1,127,0.01087,52,-15.3,0,0
Cell_2014,O1,140.8,0.01052,52,-15.3,0,0
Cell_2014,O1,156.1,0.01439,52,-15.3,0,0
Cell_2014,O1,172.9,0.009423,52,-15.3,0,0
Cell_2014,O1,196.7,0.009313,52,-15.3,0,0
Cell_2014,O1,225,0.005434,52,-15.3,0,0
Cell_2014,O1,255.8,0.005506,52,-15.3,0,0
Cell_2014,O1,288.9,0.008344,52,-15.3,0,0
Cell_2014,Oid,9.709,0.1426,10,-17,0,0
Cell_2014,Oid,18.97,0.03963,10,-17,0,0
Cell_2014,Oid,35.52,0.01224,10,-17,0,0
Cell_2014,Oid,69.07,0.005268,10,-17,0,0
Cell_2014,Oid,107.2,0.002962,10,-17,0,0
Cell_2014,Oid,209.7,0.001097,10,-17,0,0
PNAS_2011,O3,22.42,0.7985,1,-9.7,0,0
PNAS_2011,O3,59.34,0.6524,1,-9.7,0,0
PNAS_2011,O3,124,0.621,1,-9.7,0,0
PNAS_2011,O3,255.3,0.4773,1,-9.7,0,0
PNAS_2011,O3,1213,0.2494,1,-9.7,0,0
PNAS_2011,O3,1735,0.1743,1,-9.7,0,0
PNAS_2011,O2,22.42,0.1756,1,-13.9,0,0
PNAS_2011,O2,59.34,0.04519,1,-13.9,0,0
PNAS_2011,O2,124,0.02151,1,-13.9,0,0
PNAS_2011,O2,255.3,0.01241,1,-13.9,0,0
PNAS_2011,O2,1213,0.0057,1,-13.9,0,0
PNAS_2011,O2,1735,0.004626,1,-13.9,0,0
PNAS_2011,O1,22.42,0.03886,1,-15.3,0,0
PNAS_2011,O1,59.34,0.008902,1,-15.3,0,0
PNAS_2011,O1,124,0.004721,1,-15.3,0,0
PNAS_2011,O1,225.3,0.002774,1,-15.3,0,0
PNAS_2011,O1,1213,0.001508,1,-15.3,0,0
PNAS_2011,O1,1735,0.0011,1,-15.3,0,0
PNAS_2011,Oid,22.42,0.007554,1,-17,0,0
PNAS_2011,Oid,59.34,0.00162,1,-17,0,0
PNAS_2011,Oid,124,0.001004,1,-17,0,0
PNAS_2011,Oid,255.3,0.0006235,1,-17,0,0
PNAS_2011,Oid,1213,0.0002914,1,-17,0,0
PNAS_2011,Oid,1735,0.0001799,1,-17,0,0
